#T(K)	P(Pa)
610.15,	1.31E+02
615.15,	1.75E+02
620.15,	2.30E+02
625.15,	3.01E+02
630.15,	3.91E+02
635.15,	5.03E+02
640.15,	6.43E+02
645.15,	8.16E+02
650.15,	1.03E+03
655.15,	1.29E+03
660.15,	1.60E+03
665.15,	1.99E+03
670.15,	2.44E+03
675.15,	2.99E+03
680.15,	3.64E+03
685.15,	4.41E+03
690.15,	5.32E+03
695.15,	6.38E+03
700.15,	7.62E+03
705.15,	9.07E+03
710.15,	1.07E+04
715.15,	1.27E+04
720.15,	1.49E+04
725.15,	1.74E+04
730.15,	2.03E+04
735.15,	2.36E+04
740.15,	2.74E+04
745.15,	3.16E+04
750.15,	3.64E+04
755.15,	4.18E+04
760.15,	4.78E+04
765.15,	5.45E+04
770.15,	6.20E+04
775.15,	7.04E+04
780.15,	7.96E+04
785.15,	8.99E+04
790.15,	1.01E+05
